commit	score	passed	total	status	description
55763d29	0.640	16	25	baseline	estimated clean baseline — STOPLIGHT format wrong + Hard Gate framing + word count failures
4aba633a	0.680	17	25	keep	proportional depth: LOW risk <1500w — fixed T2-A3; 8 failures remain
61951783	1.000	25	25	keep	STOPLIGHT format **STOPLIGHT**: VALUE — fixed 8 assertions (T1-A1/A5 T2-A2/A5 T3-A3/A5 T4-A4 T5-A5) — PERFECT SCORE
61951783	0.960	24	25	stability-fail	stability check: T3-A4 failed — agent used "**Gaps**:" heading instead of "**Debt Register**"
61951783	1.000	25	25	stability-pass	stability check 3 (old): T3-A4 passed — agent used "**Debt Register**" heading — 2/3 stable, not sufficient
198f44eb	—	—	25	pending	Debt Register heading fix — explicit "**Debt Register**" heading instruction in S10
198f44eb	0.800	20	25	stability-fail	clean-C (abbreviated prompt): T1-A1/A5 T2-A1 T3-A5 T4-A1 failed — prose table + no dash in gap_id; abbreviated prompt confirmed broken
198f44eb	0.800	20	25	stability-fail	clean-B (abbreviated prompt): T1-A1/A5 T2-A1/A2 T4-A1 failed — prose table; T3-A5 passed (dash present); T2-A2 stochastic ("a loss" vs "loss")
e0edf6d5	—	—	25	pending	Hard Gate table format + gap_id dash examples — stability checks D/E/F in progress (full skill content)
e0edf6d5	—	—	25	api-error	D — full skill content (16KB prompt): UND_ERR_SOCKET at 63min — prompt too large
e0edf6d5	—	—	25	api-error	E — full skill content (16KB prompt): UND_ERR_SOCKET at 63min — same issue
e0edf6d5	—	—	25	api-error	F — full skill content (16KB prompt): UND_ERR_SOCKET at 63min — confirmed: full-skill prompt too large for single-agent run
e0edf6d5	0.840	21	25	stability-fail	G — condensed prompt: T1-A1/A5 T2-A2/A5 T4-A4 failed — Q7 invents gaps, Q6 UNKNOWN, §7 phrasing, NO→RED ignored
e0edf6d5	0.840	21	25	stability-fail	H — condensed prompt: T1-A1/A5 T2-A5 T3-A4 failed — same Q7/Q6 issues + Debt Register heading stochastic
e0edf6d5	0.880	22	25	stability-fail	I — condensed prompt: T1-A1/A5 T4-A4 failed — Q7 invents gaps, NO→RED ignored; T2-A5 fixed relative to G
949cad03	—	—	25	api-error	J — old session inline prompt: UND_ERR_SOCKET at 68min — tool-call cascade confirmed
949cad03	—	—	25	api-error	L — inline prompt (~8KB): UND_ERR_SOCKET at 63min — tool-call cascade confirmed
571e79c8	1.000	25	25	stability-pass	M — 25/25, 0 tool calls, 10min — all fixes validated: Q7=YES, Q6=YES, §7 no capital impact, NO→RED — 1/3 stable
571e79c8	1.000	25	25	stability-pass	N — 25/25, 0 tool calls, 20min — 2/3 stable
571e79c8	1.000	25	25	stability-pass	O — 25/25, 0 tool calls, 52min — 3/3 stable — LOOP COMPLETE
